"","date","hour","fullname","site","station","grounddepth","groundtemp","vwcdepth","vwc","airtemp","solar","windspeed","winddir"
"150","2024-12-02",5,"TNHA-SD","TNHA","SD",NA,NA,NA,NA,NA,NA,0.2,26.2
"151","2024-12-02",6,"TNHA-BASE","TNHA","BASE",NA,NA,NA,NA,NA,NA,0,285
"152","2024-12-02",6,"TNHA-SA","TNHA","SA",NA,NA,NA,NA,NA,NA,0,118
"153","2024-12-02",6,"TNHA-SB","TNHA","SB",NA,NA,NA,NA,NA,NA,0,246.4
"154","2024-12-02",6,"TNHA-SC","TNHA","SC",NA,NA,NA,NA,NA,NA,0,114
"155","2024-12-02",6,"TNHA-SD","TNHA","SD",NA,NA,NA,NA,NA,NA,0.2,24.2
"156","2024-12-02",7,"TNHA-BASE","TNHA","BASE",NA,NA,NA,NA,NA,NA,0,285
"157","2024-12-02",7,"TNHA-SA","TNHA","SA",NA,NA,NA,NA,NA,NA,0,118
"158","2024-12-02",7,"TNHA-SB","TNHA","SB",NA,NA,NA,NA,NA,NA,0,246.4
"159","2024-12-02",7,"TNHA-SC","TNHA","SC",NA,NA,NA,NA,NA,NA,0,114
"160","2024-12-02",7,"TNHA-SD","TNHA","SD",NA,NA,NA,NA,NA,NA,0.2,24.2
"161","2024-12-02",8,"TNHA-BASE","TNHA","BASE",NA,NA,NA,NA,NA,NA,0,285
"162","2024-12-02",8,"TNHA-SA","TNHA","SA",NA,NA,NA,NA,NA,NA,0,118
"163","2024-12-02",8,"TNHA-SB","TNHA","SB",NA,NA,NA,NA,NA,NA,0,246.4
"164","2024-12-02",8,"TNHA-SC","TNHA","SC",NA,NA,NA,NA,NA,NA,0,114
"165","2024-12-02",8,"TNHA-SD","TNHA","SD",NA,NA,NA,NA,NA,NA,0.2,24.2
"166","2024-12-02",9,"TNHA-BASE","TNHA","BASE",NA,NA,NA,NA,NA,NA,0,285
"167","2024-12-02",9,"TNHA-SA","TNHA","SA",NA,NA,NA,NA,NA,NA,0,119
"168","2024-12-02",9,"TNHA-SB","TNHA","SB",NA,NA,NA,NA,NA,NA,0,246.4
"169","2024-12-02",9,"TNHA-SC","TNHA","SC",NA,NA,NA,NA,NA,NA,0,114
"170","2024-12-02",9,"TNHA-SD","TNHA","SD",NA,NA,NA,NA,NA,NA,0.2,24.2
"171","2024-12-02",10,"TNHA-BASE","TNHA","BASE",NA,NA,NA,NA,NA,NA,0,326
"172","2024-12-02",10,"TNHA-SA","TNHA","SA",NA,NA,NA,NA,NA,NA,0,180
"173","2024-12-02",10,"TNHA-SB","TNHA","SB",NA,NA,NA,NA,NA,NA,0,315.8
"174","2024-12-02",10,"TNHA-SC","TNHA","SC",NA,NA,NA,NA,NA,NA,0,114
"175","2024-12-02",10,"TNHA-SD","TNHA","SD",NA,NA,NA,NA,NA,NA,0.2,67
"176","2024-12-02",11,"TNHA-BASE","TNHA","BASE",NA,NA,NA,NA,NA,NA,0,337
"177","2024-12-02",11,"TNHA-SA","TNHA","SA",NA,NA,NA,NA,NA,NA,0,204
"178","2024-12-02",11,"TNHA-SB","TNHA","SB",NA,NA,NA,NA,NA,NA,0,276.2
"179","2024-12-02",11,"TNHA-SC","TNHA","SC",NA,NA,NA,NA,NA,NA,0,111
"180","2024-12-02",11,"TNHA-SD","TNHA","SD",NA,NA,NA,NA,NA,NA,0.2,87.2
"181","2024-12-02",12,"TNHA-BASE","TNHA","BASE",NA,NA,NA,NA,NA,NA,0,337
"182","2024-12-02",12,"TNHA-SA","TNHA","SA",NA,NA,NA,NA,NA,NA,0,215
"183","2024-12-02",12,"TNHA-SB","TNHA","SB",NA,NA,NA,NA,NA,NA,0,214.6
"184","2024-12-02",12,"TNHA-SC","TNHA","SC",NA,NA,NA,NA,NA,NA,0,67
"185","2024-12-02",12,"TNHA-SD","TNHA","SD",NA,NA,NA,NA,NA,NA,0.2,80.6
"186","2024-12-02",13,"TNHA-BASE","TNHA","BASE",NA,NA,NA,NA,NA,NA,0,337
"187","2024-12-02",13,"TNHA-SA","TNHA","SA",NA,NA,NA,NA,NA,NA,0,216
"188","2024-12-02",13,"TNHA-SB","TNHA","SB",NA,NA,NA,NA,NA,NA,0,353
"189","2024-12-02",13,"TNHA-SC","TNHA","SC",NA,NA,NA,NA,NA,NA,0,344
"190","2024-12-02",13,"TNHA-SD","TNHA","SD",NA,NA,NA,NA,NA,NA,0.2,94
"191","2024-12-02",14,"TNHA-BASE","TNHA","BASE",NA,NA,NA,NA,NA,NA,0,337
"192","2024-12-02",14,"TNHA-SA","TNHA","SA",NA,NA,NA,NA,NA,NA,0,216
"193","2024-12-02",14,"TNHA-SB","TNHA","SB",NA,NA,NA,NA,NA,NA,0,207
"194","2024-12-02",14,"TNHA-SC","TNHA","SC",NA,NA,NA,NA,NA,NA,0,79
"195","2024-12-02",14,"TNHA-SD","TNHA","SD",NA,NA,NA,NA,NA,NA,0.2,86.2
"196","2024-12-02",15,"TNHA-BASE","TNHA","BASE",NA,NA,NA,NA,NA,NA,0,337
"197","2024-12-02",15,"TNHA-SA","TNHA","SA",NA,NA,NA,NA,NA,NA,0,216
"198","2024-12-02",15,"TNHA-SB","TNHA","SB",NA,NA,NA,NA,NA,NA,0,235.4
"199","2024-12-02",15,"TNHA-SC","TNHA","SC",NA,NA,NA,NA,NA,NA,0,107
"200","2024-12-02",15,"TNHA-SD","TNHA","SD",NA,NA,NA,NA,NA,NA,0.2,89.4
"201","2024-12-02",16,"TNHA-BASE","TNHA","BASE",NA,NA,NA,NA,NA,NA,0,337
"202","2024-12-02",16,"TNHA-SA","TNHA","SA",NA,NA,NA,NA,NA,NA,0,216
"203","2024-12-02",16,"TNHA-SB","TNHA","SB",NA,NA,NA,NA,NA,NA,0,235.4
"204","2024-12-02",16,"TNHA-SC","TNHA","SC",NA,NA,NA,NA,NA,NA,0,107
"205","2024-12-02",16,"TNHA-SD","TNHA","SD",NA,NA,NA,NA,NA,NA,0.2,89.4
"206","2024-12-02",17,"TNHA-BASE","TNHA","BASE",NA,NA,NA,NA,NA,NA,0,267
"207","2024-12-02",17,"TNHA-SA","TNHA","SA",NA,NA,NA,NA,NA,NA,0,216
"208","2024-12-02",17,"TNHA-SB","TNHA","SB",NA,NA,NA,NA,NA,NA,0,225
