Line#,Date,"Solar Radiation (RXW-LIB 21198259:21362315-1), W/m^2, RX3000_BRW1_TNHA","Solar Radiation (RXW-LIB 21198259:21362317-1), W/m^2, RX3000_BRW1_TNHA","Solar Radiation (RXW-LIB 21198259:21362318-1), W/m^2, RX3000_BRW1_TNHA","Solar Radiation (RXW-LIB 21198259:21398620-1), W/m^2, RX3000_BRW1_TNHA","Solar Radiation (S-LIB 21198259:21176526-1), W/m^2, RX3000_BRW1","Solar Radiation (RXW-LIB 21198259:21362315-1), W/m^2, RX3000_BRW1","Solar Radiation (RXW-LIB 21198259:21362317-1), W/m^2, RX3000_BRW1","Solar Radiation (RXW-LIB 21198259:21362318-1), W/m^2, RX3000_BRW1","Solar Radiation (RXW-LIB 21198259:21398620-1), W/m^2, RX3000_BRW1","Solar Radiation (RXW-LIB 21401801:21362319-1), W/m^2, RX3000_BRW4","Solar Radiation (S-LIB 21401801:21390413-1), W/m^2, RX3000_BRW4","Solar Radiation (RXW-LIB 21401801:21398622-1), W/m^2, RX3000_BRW4","Solar Radiation (RXW-LIB 21401800:21362313-1), W/m^2, RX3000_BRW5","Solar Radiation (RXW-LIB 21401800:21362314-1), W/m^2, RX3000_BRW5","Solar Radiation (RXW-LIB 21401800:21362316-1), W/m^2, RX3000_BRW5","Solar Radiation (RXW-LIB 21401800:21362320-1), W/m^2, RX3000_BRW5","Solar Radiation (S-LIB 21401800:21390414-1), W/m^2, RX3000_BRW5","Solar Radiation (RXW-LIB 21401800:21398617-1), W/m^2, RX3000_BRW5","Solar Radiation (S-LIB 21401803:21390415-1), W/m^2, RX3000_BRW6"
136,12/02/22 09:35:00,,,,,,,,,,1,1,1,,,,,,,
137,12/02/22 10:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
138,12/02/22 10:05:00,,,,,,,,,,1,1,1,,,,,,,
139,12/02/22 10:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
140,12/02/22 10:35:00,,,,,,,,,,1,1,1,,,,,,,
141,12/02/22 11:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
142,12/02/22 11:05:00,,,,,,,,,,1,1,1,,,,,,,
143,12/02/22 11:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
144,12/02/22 11:35:00,,,,,,,,,,1,1,1,,,,,,,
145,12/02/22 12:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
146,12/02/22 12:05:00,,,,,,,,,,1,1,1,,,,,,,
147,12/02/22 12:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
148,12/02/22 12:35:00,,,,,,,,,,1,1,1,,,,,,,
149,12/02/22 13:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
150,12/02/22 13:05:00,,,,,,,,,,1,1,1,,,,,,,
151,12/02/22 13:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
152,12/02/22 13:35:00,,,,,,,,,,1,1,1,,,,,,,
153,12/02/22 14:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
154,12/02/22 14:05:00,,,,,,,,,,1,1,1,,,,,,,
155,12/02/22 14:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
156,12/02/22 14:35:00,,,,,,,,,,1,1,1,,,,,,,
157,12/02/22 15:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
158,12/02/22 15:05:00,,,,,,,,,,1,1,1,,,,,,,
159,12/02/22 15:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
160,12/02/22 15:35:00,,,,,,,,,,1,1,1,,,,,,,
161,12/02/22 16:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
162,12/02/22 16:05:00,,,,,,,,,,1,1,1,,,,,,,
163,12/02/22 16:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
164,12/02/22 16:35:00,,,,,,,,,,1,1,1,,,,,,,
165,12/02/22 17:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
166,12/02/22 17:05:00,,,,,,,,,,1,1,1,,,,,,,
167,12/02/22 17:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
168,12/02/22 17:35:00,,,,,,,,,,1,1,1,,,,,,,
169,12/02/22 18:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
170,12/02/22 18:05:00,,,,,,,,,,1,1,1,,,,,,,
171,12/02/22 18:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
