Line#,Date,"Solar Radiation (S-LIB 21198259:21176526-1), W/m^2, RX3000_BRW1_TNHA","Solar Radiation (RXW-LIB 21198259:21362318-1), W/m^2, RX3000_BRW1_TNHA","Solar Radiation (RXW-LIB 21198259:21398620-1), W/m^2, RX3000_BRW1_TNHA","Solar Radiation (RXW-LIB 21198259:21362315-1), W/m^2, RX3000_BRW1_TNHA","Solar Radiation (RXW-LIB 21401801:21362319-1), W/m^2, RX3000_BRW4_SSMH","Solar Radiation (RXW-LIB 21401801:21398619-1), W/m^2, RX3000_BRW4_SSMH","Solar Radiation (RXW-LIB 21401801:21398622-1), W/m^2, RX3000_BRW4_SSMH","Solar Radiation (S-LIB 21401801:21390413-1), W/m^2, RX3000_BRW4_SSMH","Solar Radiation (S-LIB 21401803:21390415-1), W/m^2, RX3000_BRW6_BEO"
398,12/06/23 03:00:00,1,1,1,1,,,,,
399,12/06/23 04:00:00,1,1,1,1,,,,,
400,12/06/23 05:00:00,1,1,1,1,,,,,
401,12/06/23 06:00:00,1,1,1,1,,,,,
402,12/06/23 07:00:00,1,1,1,1,,,,,
403,12/06/23 08:00:00,1,1,1,1,,,,,
404,12/06/23 09:00:00,1,1,1,1,,,,,
405,12/06/23 10:00:00,1,1,1,1,,,,,
406,12/06/23 11:00:00,1,1,1,1,,,,,
407,12/06/23 12:00:00,1,1,1,1,,,,,
408,12/06/23 13:00:00,1,1,1,1,,,,,
409,12/06/23 14:00:00,1,1,1,1,,,,,
410,12/06/23 15:00:00,1,1,1,1,,,,,
411,12/06/23 16:00:00,1,1,1,1,,,,,
412,12/06/23 17:00:00,1,1,1,1,,,,,
413,12/06/23 18:00:00,1,1,1,1,,,,,
414,12/06/23 19:00:00,1,1,1,1,,,,,
415,12/06/23 20:00:00,1,1,1,1,,,,,
416,12/06/23 21:00:00,1,1,1,1,,,,,
417,12/06/23 22:00:00,1,1,1,1,,,,,
418,12/06/23 23:00:00,1,1,1,1,,,,,
419,12/07/23 00:00:00,1,1,1,1,,,,,
420,12/07/23 01:00:00,1,1,1,1,,,,,
421,12/07/23 02:00:00,1,1,1,1,,,,,
422,12/07/23 03:00:00,1,1,1,1,,,,,
423,12/07/23 04:00:00,1,1,1,1,,,,,
424,12/07/23 05:00:00,1,1,1,1,,,,,
425,12/07/23 06:00:00,1,1,1,1,,,,,
426,12/07/23 07:00:00,1,1,1,1,,,,,
427,12/07/23 08:00:00,1,1,1,1,,,,,
428,12/07/23 09:00:00,1,1,1,1,,,,,
429,12/07/23 10:00:00,1,1,1,1,,,,,
430,12/07/23 11:00:00,1,1,1,1,,,,,
431,12/07/23 12:00:00,1,1,1,1,,,,,
432,12/07/23 13:00:00,1,1,1,1,,,,,
433,12/07/23 14:00:00,1,1,1,1,,,,,
434,12/07/23 15:00:00,1,1,1,1,,,,,
435,12/07/23 16:00:00,1,1,1,1,,,,,
436,12/07/23 17:00:00,1,1,1,1,,,,,
437,12/07/23 18:00:00,1,1,1,1,,,,,
438,12/07/23 19:00:00,1,1,1,1,,,,,
439,12/07/23 20:00:00,1,1,1,1,,,,,
440,12/07/23 21:00:00,1,1,1,1,,,,,
441,12/07/23 22:00:00,1,1,1,1,,,,,
442,12/07/23 23:00:00,1,1,1,1,,,,,
443,12/08/23 00:00:00,1,1,1,1,,,,,
444,12/08/23 01:00:00,1,1,1,1,,,,,
445,12/08/23 02:00:00,1,1,1,1,,,,,
446,12/08/23 03:00:00,1,1,1,1,,,,,
447,12/08/23 04:00:00,1,1,1,1,,,,,
448,12/08/23 05:00:00,1,1,1,1,,,,,
449,12/08/23 06:00:00,1,1,1,1,,,,,
450,12/08/23 07:00:00,1,1,1,1,,,,,
451,12/08/23 08:00:00,1,1,1,1,,,,,
452,12/08/23 09:00:00,1,1,1,1,,,,,
453,12/08/23 10:00:00,1,1,1,1,,,,,
454,12/08/23 11:00:00,1,1,1,1,,,,,
455,12/08/23 12:00:00,1,1,1,1,,,,,
456,12/08/23 13:00:00,1,1,1,1,,,,,
457,12/08/23 14:00:00,1,1,1,1,,,,,
458,12/08/23 15:00:00,1,1,1,1,,,,,
459,12/08/23 16:00:00,1,1,1,1,,,,,
460,12/08/23 17:00:00,1,1,1,1,,,,,
461,12/08/23 18:00:00,1,1,1,1,,,,,
462,12/08/23 19:00:00,1,1,1,1,,,,,
463,12/08/23 20:00:00,1,1,1,1,,,,,
464,12/08/23 21:00:00,1,1,1,1,,,,,
465,12/08/23 22:00:00,1,1,1,1,,,,,
466,12/08/23 23:00:00,1,1,1,1,,,,,
467,12/09/23 00:00:00,1,1,1,1,,,,,
468,12/09/23 01:00:00,1,1,1,1,,,,,
469,12/09/23 02:00:00,1,1,1,1,,,,,
470,12/09/23 03:00:00,1,1,1,1,,,,,
471,12/09/23 04:00:00,1,1,1,1,,,,,
472,12/09/23 05:00:00,1,1,1,1,,,,,
473,12/09/23 06:00:00,1,1,1,1,,,,,
474,12/09/23 07:00:00,1,1,1,1,,,,,
475,12/09/23 08:00:00,1,1,1,1,,,,,
476,12/09/23 09:00:00,1,1,1,1,,,,,
477,12/09/23 10:00:00,1,1,1,1,,,,,
478,12/09/23 11:00:00,1,1,1,1,,,,,
479,12/09/23 12:00:00,1,1,1,1,,,,,
480,12/09/23 13:00:00,1,1,1,1,,,,,
481,12/09/23 14:00:00,1,1,1,1,,,,,
482,12/09/23 15:00:00,1,1,1,1,,,,,
483,12/09/23 16:00:00,1,1,1,1,,,,,
