Line#,Date,"Wind Direction (S-WDA 21198259:21167037-1), *, RX3000_BRW1_TNHA","Wind Direction (RXW-WCF 21198259:21181033-3), *, RX3000_BRW1_TNHA","Wind Direction (RXW-WCF 21198259:21398709-3), *, RX3000_BRW1_TNHA","Wind Direction (RXW-WCF 21198259:21206909-3), *, RX3000_BRW1_TNHA","Wind Direction (RXW-WCF 21401801:21206911-3), *, RX3000_BRW4_SSMH","Wind Direction (RXW-WCF 21401801:21206912-3), *, RX3000_BRW4_SSMH","Wind Direction (RXW-WCF 21401801:21398711-3), *, RX3000_BRW4_SSMH","Wind Direction (S-WDA 21401801:21350820-1), *, RX3000_BRW4_SSMH","Wind Direction (S-WDA 21401803:21350855-1), *, RX3000_BRW6_BEO"
381,12/04/23 07:30:00,,,,,,205,31,,
382,12/04/23 07:35:00,,,,,,,31,,
383,12/04/23 07:40:00,,,,,,201,15,,
384,12/04/23 08:00:00,1,95,154,124,,,,,
385,12/04/23 08:45:00,,,,,,250,,,
386,12/04/23 08:50:00,,,,,,251,,,
387,12/04/23 09:00:00,306,98,146,122,,251,63,,
388,12/04/23 09:05:00,,,,,,,63,,
389,12/04/23 09:10:00,,,,,,248,63,,
390,12/04/23 09:15:00,,,,,,,63,,
391,12/04/23 09:30:00,,,,,,,72,,
392,12/04/23 09:35:00,,,,,,244,,,
393,12/04/23 09:40:00,,,,,,247,63,,
394,12/04/23 09:50:00,,,,,,246,,,
395,12/04/23 10:00:00,212,107,132,114,,,,,
396,12/04/23 10:05:00,,,,,,,70,,
397,12/04/23 10:50:00,,,,,,246,72,,
398,12/04/23 10:55:00,,,,,,,70,,
399,12/04/23 11:00:00,219,102,114,114,,,,,
400,12/04/23 11:05:00,,,,,,246,70,,
401,12/04/23 11:10:00,,,,,,246,,,
402,12/04/23 11:15:00,,,,,,,72,,
403,12/04/23 11:20:00,,,,,,,70,,
404,12/04/23 11:25:00,,,,,,,70,,
405,12/04/23 12:00:00,204,100,117,122,,,,,
406,12/04/23 13:00:00,204,98,117,125,,,,,
407,12/04/23 13:15:00,,,,,,239,70,,
408,12/04/23 13:20:00,,,,,,,70,,
409,12/04/23 13:25:00,,,,,,239,,,
410,12/04/23 13:30:00,,,,,,,70,,
411,12/04/23 13:35:00,,,,,,239,,,
412,12/04/23 13:40:00,,,,,,239,70,,
413,12/04/23 13:45:00,,,,,,241,,,
414,12/04/23 13:50:00,,,,,,243,72,,
415,12/04/23 13:55:00,,,,,,243,,,
416,12/04/23 14:00:00,205,95,112,125,,,70,,
417,12/04/23 14:05:00,,,,,,240,,,
418,12/04/23 14:10:00,,,,,,240,70,,
419,12/04/23 14:20:00,,,,,,222,,,
420,12/04/23 15:00:00,205,94,114,125,,,,,
421,12/04/23 15:15:00,,,,,,222,70,,
422,12/04/23 15:20:00,,,,,,222,70,,
423,12/04/23 15:30:00,,,,,,,70,,
424,12/04/23 15:35:00,,,,,,222,,,
425,12/04/23 15:40:00,,,,,,222,72,,
426,12/04/23 15:45:00,,,,,,,72,,
427,12/04/23 15:55:00,,,,,,222,72,,
428,12/04/23 16:00:00,205,91,121,126,,218,70,,
429,12/04/23 16:05:00,,,,,,218,70,,
430,12/04/23 16:20:00,,,,,,218,72,,
431,12/04/23 16:25:00,,,,,,218,72,,
432,12/04/23 16:30:00,,,,,,218,72,,
433,12/04/23 16:35:00,,,,,,,72,,
434,12/04/23 16:45:00,,,,,,218,,,
435,12/04/23 17:00:00,199,90,124,128,,,,,
436,12/04/23 18:00:00,204,88,124,125,,,,,
437,12/04/23 19:00:00,208,90,128,124,,,,,
438,12/04/23 20:00:00,206,90,128,126,,,,,
439,12/04/23 21:00:00,204,90,131,126,,,,,
440,12/04/23 22:00:00,204,90,132,128,,,,,
441,12/04/23 23:00:00,211,88,149,125,,,,,
442,12/05/23 00:00:00,211,88,156,125,,,,,
443,12/05/23 01:00:00,211,105,143,124,,,,,
444,12/05/23 02:00:00,213,135,128,118,,,,,
445,12/05/23 03:00:00,211,114,111,121,,,,,
446,12/05/23 04:00:00,201,108,112,128,,,,,
447,12/05/23 05:00:00,201,104,140,128,,,,,
448,12/05/23 06:00:00,202,101,125,128,,,,,
449,12/05/23 06:30:00,,,,,,,49,,
450,12/05/23 06:40:00,,,,,,,60,,
451,12/05/23 06:50:00,,,,,,,52,,
452,12/05/23 06:55:00,,,,,,,53,,
453,12/05/23 07:00:00,201,100,138,126,,,,,
454,12/05/23 08:00:00,199,98,139,128,,,,,
455,12/05/23 08:20:00,,,,,,,77,,
456,12/05/23 08:30:00,,,,,,212,80,,
457,12/05/23 09:00:00,212,122,156,124,,,,,
458,12/05/23 09:55:00,,,,,,264,,,
459,12/05/23 10:00:00,211,244,147,124,,,,,
460,12/05/23 11:00:00,211,110,153,125,,,,,
461,12/05/23 12:00:00,209,98,147,128,,,,,
462,12/05/23 13:00:00,209,97,139,125,,,,,
463,12/05/23 14:00:00,212,95,138,124,,,,,
464,12/05/23 14:20:00,,,,,,,101,,
465,12/05/23 15:00:00,216,98,178,114,,,,,
466,12/05/23 16:00:00,216,100,190,240,,,,,
467,12/05/23 16:05:00,,,,,,,108,,
468,12/05/23 17:00:00,219,98,168,279,,,,,
469,12/05/23 18:00:00,219,100,170,243,,,,,
470,12/05/23 19:00:00,230,100,129,299,,,,,
471,12/05/23 20:00:00,225,100,122,302,,,,,
472,12/05/23 21:00:00,225,101,126,293,,,,,
473,12/05/23 22:00:00,229,101,131,302,,,,,
474,12/05/23 23:00:00,222,102,145,291,,,,,
475,12/06/23 00:00:00,232,104,128,303,,,,,
476,12/06/23 01:00:00,226,104,135,298,,,,,
477,12/06/23 02:00:00,234,100,122,302,,,,,
478,12/06/23 03:00:00,265,101,119,302,,,,,
479,12/06/23 04:00:00,261,101,119,303,,,,,
480,12/06/23 05:00:00,299,102,115,302,,,,,
481,12/06/23 06:00:00,279,102,110,302,,,,,
482,12/06/23 07:00:00,306,101,118,310,,,,,
483,12/06/23 08:00:00,309,101,118,313,,,,,
484,12/06/23 09:00:00,309,102,115,314,,,,,
485,12/06/23 10:00:00,306,105,124,314,,,,,
486,12/06/23 11:00:00,303,102,119,314,,,,,
487,12/06/23 12:00:00,227,104,118,314,,,,,
488,12/06/23 13:00:00,226,104,119,314,,,,,
489,12/06/23 14:00:00,230,104,115,314,,,,,
490,12/06/23 15:00:00,226,104,105,314,,,,,
491,12/06/23 16:00:00,253,102,114,312,,,,,
492,12/06/23 17:00:00,251,104,117,302,,,,,
493,12/06/23 18:00:00,270,104,115,302,,,,,
494,12/06/23 19:00:00,312,101,114,302,,,,,
495,12/06/23 20:00:00,260,102,119,303,,,,,
496,12/06/23 21:00:00,225,104,119,300,,,,,
