Line#,Date,"Temperature (RXW-THC 21198259:21380919-1), *C, RX3000_BRW1_TNHA","Temperature (RXW-THC 21198259:21398664-1), *C, RX3000_BRW1_TNHA","Temperature (RXW-THC 21198259:21398674-1), *C, RX3000_BRW1_TNHA","Temperature (S-THC 21198259:21218018-1), *C, RX3000_BRW1_TNHA","Temperature (RXW-THC 21401801:21398665-1), *C, RX3000_BRW4_SSMH","Temperature (RXW-THC 21401800:21187245-1), *C, RX3000_BRW5_BUECI","Temperature (S-THC 21401800:21397542-1), *C, RX3000_BRW5_BUECI","Temperature (RXW-THC 21401800:21398659-1), *C, RX3000_BRW5_BUECI","Temperature (RXW-THC 21401800:21398660-1), *C, RX3000_BRW5_BUECI","Temperature (RXW-THC 21401800:21398661-1), *C, RX3000_BRW5_BUECI","Temperature (RXW-THC 21401800:21398668-1), *C, RX3000_BRW5_BUECI","Temperature (S-THC 21401803:21397541-1), *C, RX3000_BRW6_BEO","Temperature (S-THC 21198259:21390850-1), *C, RX3000_BRW1_TNHA","Temperature (RXW-THC 21198259:21398666-1), *C, RX3000_BRW1_TNHA","Temperature (RXW-THC 21401801:21380922-1), *C, RX3000_BRW4_SSMH","Temperature (S-THC 21401801:21390849-1), *C, RX3000_BRW4_SSMH","Temperature (RXW-THC 21401801:21398667-1), *C, RX3000_BRW4_SSMH"
13273,08/20/23 12:05:00,,,,,5.00,,,,,,,,,,4.54,5.032,5.23
13274,08/20/23 12:10:00,,,,,5.08,,,,,,,,,,4.63,5.161,5.42
13275,08/20/23 12:15:00,,,,,5.12,,,,,,,,,,4.61,5.226,5.36
13276,08/20/23 12:20:00,,,,,5.10,,,,,,,,,,4.67,5.247,5.36
13277,08/20/23 12:25:00,,,,,5.15,,,,,,,,,,4.69,5.247,5.47
13278,08/20/23 12:30:00,,,,,5.23,,,,,,,,,,4.67,5.333,5.45
13279,08/20/23 12:35:00,,,,,5.30,,,,,,,,,,4.72,5.354,5.47
13280,08/20/23 12:40:00,,,,,5.23,,,,,,,,,,4.76,5.311,5.42
13281,08/20/23 12:45:00,,,,,5.23,,,,,,,,,,4.74,5.290,5.42
13282,08/20/23 12:50:00,,,,,5.23,,,,,,,,,,4.76,5.247,5.42
13283,08/20/23 12:55:00,,,,,5.19,,,,,,,,,,4.78,5.247,5.47
13284,08/20/23 13:00:00,,,,,5.25,,,,,,,,,,4.78,5.226,5.34
13285,08/20/23 13:05:00,,,,,5.27,,,,,,,,,,4.84,5.268,5.40
13286,08/20/23 13:10:00,,,,,5.27,,,,,,,,,,4.89,5.247,5.45
13287,08/20/23 13:15:00,,,,,5.23,,,,,,,,,,4.87,5.268,5.45
13288,08/20/23 13:20:00,,,,,5.25,,,,,,,,,,4.91,5.290,5.53
13289,08/20/23 13:25:00,,,,,5.32,,,,,,,,,,4.91,5.311,5.55
13290,08/20/23 13:30:00,,,,,5.30,,,,,,,,,,4.89,5.419,5.53
13291,08/20/23 13:35:00,,,,,5.32,,,,,,,,,,4.89,5.333,5.49
13292,08/20/23 13:40:00,,,,,5.38,,,,,,,,,,4.91,5.397,5.53
13293,08/20/23 13:45:00,,,,,5.23,,,,,,,,,,4.95,5.333,5.45
13294,08/20/23 13:50:00,,,,,5.17,,,,,,,,,,4.87,5.290,5.40
13295,08/20/23 13:55:00,,,,,5.21,,,,,,,,,,4.89,5.226,5.38
13296,08/20/23 14:00:00,,,,,5.19,,,,,,,,,,4.89,5.247,5.42
13297,08/20/23 14:05:00,,,,,5.19,,,,,,,,,,4.87,5.226,5.36
13298,08/20/23 14:10:00,,,,,5.19,,,,,,,,,,4.91,5.247,5.47
13299,08/20/23 14:15:00,,,,,5.25,,,,,,,,,,4.82,5.311,5.57
13300,08/20/23 14:20:00,,,,,5.27,,,,,,,,,,4.80,5.311,5.57
13301,08/20/23 14:25:00,,,,,5.34,,,,,,,,,,4.84,5.354,5.62
13302,08/20/23 14:30:00,,,,,5.36,,,,,,,,,,4.93,5.397,5.57
13303,08/20/23 14:35:00,,,,,5.40,,,,,,,,,,4.84,5.419,5.55
13304,08/20/23 14:40:00,,,,,5.40,,,,,,,,,,4.89,5.461,5.57
13305,08/20/23 14:45:00,,,,,5.40,,,,,,,,,,4.87,5.440,5.62
13306,08/20/23 14:50:00,,,,,5.40,,,,,,,,,,4.80,5.440,5.60
13307,08/20/23 14:55:00,,,,,5.42,,,,,,,,,,4.80,5.440,5.57
13308,08/20/23 15:00:00,,,,,5.42,,,,,,,,,,4.82,5.397,5.55
13309,08/20/23 15:05:00,,,,,5.40,,,,,,,,,,4.82,5.440,5.64
13310,08/20/23 15:10:00,,,,,5.42,,,,,,,,,,4.76,5.440,5.57
13311,08/20/23 15:15:00,,,,,5.45,,,,,,,,,,4.84,5.440,5.57
13312,08/20/23 15:20:00,,,,,5.45,,,,,,,,,,4.89,5.504,5.55
13313,08/20/23 15:25:00,,,,,5.47,,,,,,,,,,4.84,5.526,5.53
13314,08/20/23 15:30:00,,,,,5.42,,,,,,,,,,4.80,5.440,5.55
13315,08/20/23 15:35:00,,,,,5.42,,,,,,,,,,4.72,5.419,5.60
13316,08/20/23 15:40:00,,,,,5.40,,,,,,,,,,4.72,5.440,5.57
13317,08/20/23 15:45:00,,,,,5.42,,,,,,,,,,4.74,5.440,5.60
13318,08/20/23 15:50:00,,,,,5.45,,,,,,,,,,4.72,5.419,5.55
13319,08/20/23 15:55:00,,,,,5.42,,,,,,,,,,4.74,5.504,5.57
13320,08/20/23 16:00:00,,,,,5.49,,,,,,,,,,4.87,5.461,5.62
13321,08/20/23 16:05:00,,,,,5.49,,,,,,,,,,4.84,5.504,5.55
13322,08/20/23 16:10:00,,,,,5.40,,,,,,,,,,4.91,5.440,5.57
13323,08/20/23 16:15:00,,,,,5.45,,,,,,,,,,5.00,5.483,5.62
13324,08/20/23 16:20:00,,,,,5.42,,,,,,,,,,4.97,5.526,5.57
13325,08/20/23 16:25:00,,,,,5.42,,,,,,,,,,4.95,5.483,5.60
13326,08/20/23 16:30:00,,,,,5.40,,,,,,,,,,5.04,5.526,5.53
13327,08/20/23 16:35:00,,,,,5.45,,,,,,,,,,5.21,5.526,5.57
13328,08/20/23 16:40:00,,,,,5.51,,,,,,,,,,5.17,5.590,5.68
13329,08/20/23 16:45:00,,,,,5.51,,,,,,,,,,5.27,5.654,5.79
13330,08/20/23 16:50:00,,,,,5.53,,,,,,,,,,5.34,5.654,5.75
13331,08/20/23 16:55:00,,,,,5.60,,,,,,,,,,5.36,5.740,5.75
