Line#,Date,"Solar Radiation (S-LIB 21198259:21176526-1), W/m^2, RX3000_BRW1","Solar Radiation (RXW-LIB 21198259:21362315-1), W/m^2, RX3000_BRW1","Solar Radiation (RXW-LIB 21198259:21362317-1), W/m^2, RX3000_BRW1","Solar Radiation (RXW-LIB 21198259:21362318-1), W/m^2, RX3000_BRW1","Solar Radiation (RXW-LIB 21198259:21398620-1), W/m^2, RX3000_BRW1","Solar Radiation (RXW-LIB 21401801:21362319-1), W/m^2, RX3000_BRW4","Solar Radiation (S-LIB 21401801:21390413-1), W/m^2, RX3000_BRW4","Solar Radiation (RXW-LIB 21401800:21362313-1), W/m^2, RX3000_BRW5","Solar Radiation (RXW-LIB 21401800:21362314-1), W/m^2, RX3000_BRW5","Solar Radiation (RXW-LIB 21401800:21362316-1), W/m^2, RX3000_BRW5","Solar Radiation (RXW-LIB 21401800:21362320-1), W/m^2, RX3000_BRW5","Solar Radiation (S-LIB 21401800:21390414-1), W/m^2, RX3000_BRW5","Solar Radiation (RXW-LIB 21401800:21398617-1), W/m^2, RX3000_BRW5","Solar Radiation (RXW-LIB 21401800:21398623-1), W/m^2, RX3000_BRW5","Solar Radiation (S-LIB 21401803:21390415-1), W/m^2, RX3000_BRW6"
4386,11/03/22 11:00:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
4387,11/03/22 11:10:00,,,,,,1,1,,,,,,,,
4388,11/03/22 11:30:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
4389,11/03/22 11:40:00,,,,,,1,1,,,,,,,,
4390,11/03/22 12:00:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
4391,11/03/22 12:10:00,,,,,,1,1,,,,,,,,
4392,11/03/22 12:30:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
4393,11/03/22 12:40:00,,,,,,1,1,,,,,,,,
4394,11/03/22 13:00:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
4395,11/03/22 13:10:00,,,,,,1,1,,,,,,,,
4396,11/03/22 13:30:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
4397,11/03/22 13:40:00,,,,,,1,1,,,,,,,,
4398,11/03/22 14:00:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
4399,11/03/22 14:10:00,,,,,,1,1,,,,,,,,
4400,11/03/22 14:30:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
4401,11/03/22 14:40:00,,,,,,1,1,,,,,,,,
4402,11/03/22 15:00:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
4403,11/03/22 15:10:00,,,,,,1,1,,,,,,,,
4404,11/03/22 15:30:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
4405,11/03/22 15:40:00,,,,,,1,1,,,,,,,,
4406,11/03/22 16:00:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
4407,11/03/22 16:10:00,,,,,,1,1,,,,,,,,
4408,11/03/22 16:30:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
4409,11/03/22 16:40:00,,,,,,1,1,,,,,,,,
4410,11/03/22 17:00:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
4411,11/03/22 17:10:00,,,,,,1,1,,,,,,,,
4412,11/03/22 17:30:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
4413,11/03/22 17:40:00,,,,,,1,1,,,,,,,,
4414,11/03/22 18:00:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
4415,11/03/22 18:10:00,,,,,,1,1,,,,,,,,
4416,11/03/22 18:30:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
4417,11/03/22 18:40:00,,,,,,1,1,,,,,,,,
4418,11/03/22 19:00:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
4419,11/03/22 19:10:00,,,,,,1,1,,,,,,,,
4420,11/03/22 19:30:00,2,1,1,1,1,,,1,1,1,1,2,1,,4
4421,11/03/22 19:40:00,,,,,,1,8,,,,,,,,
4422,11/03/22 20:00:00,7,4,1,2,1,,,4,3,4,2,9,4,,11
4423,11/03/22 20:10:00,,,,,,1,6,,,,,,,,
4424,11/03/22 20:30:00,9,7,2,6,2,,,9,7,8,3,12,9,,16
4425,11/03/22 20:40:00,,,,,,2,9,,,,,,,,
4426,11/03/22 21:00:00,13,11,4,8,2,,,12,9,11,6,18,14,,22
4427,11/03/22 21:10:00,,,,,,2,12,,,,,,,,
4428,11/03/22 21:30:00,14,14,6,11,3,,,16,12,14,7,19,18,,23
4429,11/03/22 21:40:00,,,,,,3,13,,,,,,,,
4430,11/03/22 22:00:00,14,12,6,12,4,,,16,12,14,7,19,17,,19
4431,11/03/22 22:10:00,,,,,,3,9,,,,,,,,
4432,11/03/22 22:30:00,9,9,6,8,2,,,11,8,9,6,14,14,,17
4433,11/03/22 22:40:00,,,,,,2,8,,,,,,,,
4434,11/03/22 23:00:00,11,9,6,8,2,,,9,8,9,6,16,14,,21
4435,11/03/22 23:10:00,,,,,,2,9,,,,,,,,
4436,11/03/22 23:30:00,11,8,4,8,2,,,11,9,11,6,14,14,,17
4437,11/03/22 23:40:00,,,,,,3,8,,,,,,,,
4438,11/04/22 00:00:00,11,8,4,7,2,,,9,7,11,4,13,11,,17
4439,11/04/22 00:10:00,,,,,,3,6,,,,,,,,
4440,11/04/22 00:30:00,7,7,2,6,2,,,9,6,9,3,8,9,,11
4441,11/04/22 00:40:00,,,,,,2,4,,,,,,,,
4442,11/04/22 01:00:00,3,3,1,2,1,,,4,3,4,2,4,4,,6
4443,11/04/22 01:10:00,,,,,,1,2,,,,,,,,
4444,11/04/22 01:30:00,1,1,1,1,1,,,1,1,2,1,1,2,,1
4445,11/04/22 01:40:00,,,,,,1,1,,,,,,,,
4446,11/04/22 02:00:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
4447,11/04/22 02:10:00,,,,,,1,1,,,,,,,,
4448,11/04/22 02:30:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
4449,11/04/22 02:40:00,,,,,,1,1,,,,,,,,
4450,11/04/22 03:00:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
4451,11/04/22 03:10:00,,,,,,1,1,,,,,,,,
4452,11/04/22 03:30:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
4453,11/04/22 03:40:00,,,,,,1,1,,,,,,,,
4454,11/04/22 04:00:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
4455,11/04/22 04:10:00,,,,,,1,1,,,,,,,,
4456,11/04/22 04:30:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
4457,11/04/22 04:40:00,,,,,,1,1,,,,,,,,
4458,11/04/22 05:00:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
4459,11/04/22 05:10:00,,,,,,1,1,,,,,,,,
4460,11/04/22 05:30:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
4461,11/04/22 05:40:00,,,,,,1,1,,,,,,,,
4462,11/04/22 06:00:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
4463,11/04/22 06:10:00,,,,,,1,1,,,,,,,,
4464,11/04/22 06:30:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
4465,11/04/22 06:40:00,,,,,,1,1,,,,,,,,
4466,11/04/22 07:00:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
4467,11/04/22 07:10:00,,,,,,1,1,,,,,,,,
4468,11/04/22 07:30:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
4469,11/04/22 07:40:00,,,,,,1,1,,,,,,,,
4470,11/04/22 08:00:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
4471,11/04/22 08:10:00,,,,,,1,1,,,,,,,,
4472,11/04/22 08:30:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
4473,11/04/22 08:40:00,,,,,,1,1,,,,,,,,
4474,11/04/22 09:00:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
4475,11/04/22 09:10:00,,,,,,1,1,,,,,,,,
4476,11/04/22 09:30:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
4477,11/04/22 09:40:00,,,,,,1,1,,,,,,,,
4478,11/04/22 10:00:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
4479,11/04/22 10:10:00,,,,,,1,1,,,,,,,,
4480,11/04/22 10:30:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
4481,11/04/22 10:40:00,,,,,,1,1,,,,,,,,
4482,11/04/22 11:00:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
4483,11/04/22 11:10:00,,,,,,1,1,,,,,,,,
4484,11/04/22 11:30:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
4485,11/04/22 11:40:00,,,,,,1,1,,,,,,,,
4486,11/04/22 12:00:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
4487,11/04/22 12:10:00,,,,,,1,1,,,,,,,,
4488,11/04/22 12:30:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
4489,11/04/22 12:40:00,,,,,,1,1,,,,,,,,
4490,11/04/22 13:00:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
4491,11/04/22 13:10:00,,,,,,1,1,,,,,,,,
4492,11/04/22 13:30:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
4493,11/04/22 13:40:00,,,,,,1,1,,,,,,,,
4494,11/04/22 14:00:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
4495,11/04/22 14:10:00,,,,,,1,1,,,,,,,,
4496,11/04/22 14:30:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
4497,11/04/22 14:40:00,,,,,,1,1,,,,,,,,
4498,11/04/22 15:00:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
4499,11/04/22 15:10:00,,,,,,1,1,,,,,,,,
4500,11/04/22 15:30:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
4501,11/04/22 15:40:00,,,,,,1,1,,,,,,,,
4502,11/04/22 16:00:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
4503,11/04/22 16:10:00,,,,,,1,1,,,,,,,,
4504,11/04/22 16:30:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
4505,11/04/22 16:40:00,,,,,,1,1,,,,,,,,
4506,11/04/22 17:00:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
4507,11/04/22 17:10:00,,,,,,1,1,,,,,,,,
4508,11/04/22 17:30:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
4509,11/04/22 17:40:00,,,,,,1,1,,,,,,,,
4510,11/04/22 18:00:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
4511,11/04/22 18:10:00,,,,,,1,1,,,,,,,,
4512,11/04/22 18:30:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
4513,11/04/22 18:40:00,,,,,,1,1,,,,,,,,
4514,11/04/22 19:00:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
4515,11/04/22 19:10:00,,,,,,1,1,,,,,,,,
4516,11/04/22 19:30:00,2,1,1,1,1,,,1,1,1,1,2,1,,2
4517,11/04/22 19:40:00,,,,,,1,3,,,,,,,,
4518,11/04/22 20:00:00,6,3,1,3,1,,,2,2,3,1,6,3,,8
4519,11/04/22 20:10:00,,,,,,1,6,,,,,,,,
4520,11/04/22 20:30:00,12,6,2,8,1,,,7,7,8,2,11,7,,16
4521,11/04/22 20:40:00,,,,,,1,11,,,,,,,,
4522,11/04/22 21:00:00,13,11,4,12,2,,,9,9,8,3,13,9,,16
4523,11/04/22 21:10:00,,,,,,2,9,,,,,,,,
4524,11/04/22 21:30:00,13,8,4,13,2,,,9,11,8,4,14,11,,23
4525,11/04/22 21:40:00,,,,,,2,13,,,,,,,,
4526,11/04/22 22:00:00,16,12,6,16,2,,,12,11,12,6,17,13,,23
4527,11/04/22 22:10:00,,,,,,3,16,,,,,,,,
4528,11/04/22 22:30:00,21,13,6,19,4,,,16,14,14,7,19,16,,24
4529,11/04/22 22:40:00,,,,,,4,16,,,,,,,,
4530,11/04/22 23:00:00,17,13,6,18,4,,,14,13,13,6,17,14,,21
4531,11/04/22 23:10:00,,,,,,3,14,,,,,,,,
4532,11/04/22 23:30:00,16,9,6,16,3,,,13,12,16,6,16,13,,21
4533,11/04/22 23:40:00,,,,,,3,12,,,,,,,,
4534,11/05/22 00:00:00,12,9,4,14,2,,,11,9,11,4,12,11,,17
4535,11/05/22 00:10:00,,,,,,2,8,,,,,,,,
4536,11/05/22 00:30:00,7,6,2,9,1,,,7,7,8,2,6,7,,8
4537,11/05/22 00:40:00,,,,,,1,3,,,,,,,,
4538,11/05/22 01:00:00,1,1,1,4,1,,,2,2,3,1,1,2,,2
4539,11/05/22 01:10:00,,,,,,1,1,,,,,,,,
4540,11/05/22 01:30:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
4541,11/05/22 01:40:00,,,,,,1,1,,,,,,,,
4542,11/05/22 02:00:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
4543,11/05/22 02:10:00,,,,,,1,1,,,,,,,,
4544,11/05/22 02:30:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
4545,11/05/22 02:40:00,,,,,,1,1,,,,,,,,
4546,11/05/22 03:00:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
4547,11/05/22 03:10:00,,,,,,1,1,,,,,,,,
4548,11/05/22 03:30:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
4549,11/05/22 03:40:00,,,,,,1,1,,,,,,,,
4550,11/05/22 04:00:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
4551,11/05/22 04:10:00,,,,,,1,1,,,,,,,,
4552,11/05/22 04:30:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
4553,11/05/22 04:40:00,,,,,,1,1,,,,,,,,
4554,11/05/22 05:00:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
4555,11/05/22 05:10:00,,,,,,1,1,,,,,,,,
4556,11/05/22 05:30:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
4557,11/05/22 05:40:00,,,,,,1,1,,,,,,,,
4558,11/05/22 06:00:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
4559,11/05/22 06:10:00,,,,,,1,1,,,,,,,,
4560,11/05/22 06:30:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
4561,11/05/22 06:40:00,,,,,,1,1,,,,,,,,
4562,11/05/22 07:00:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
4563,11/05/22 07:10:00,,,,,,1,1,,,,,,,,
4564,11/05/22 07:30:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
4565,11/05/22 07:40:00,,,,,,1,1,,,,,,,,
4566,11/05/22 08:00:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
4567,11/05/22 08:10:00,,,,,,1,1,,,,,,,,
4568,11/05/22 08:30:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
4569,11/05/22 08:40:00,,,,,,1,1,,,,,,,,
4570,11/05/22 09:00:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
4571,11/05/22 09:10:00,,,,,,1,1,,,,,,,,
4572,11/05/22 09:30:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
4573,11/05/22 09:40:00,,,,,,1,1,,,,,,,,
4574,11/05/22 10:00:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
4575,11/05/22 10:10:00,,,,,,1,1,,,,,,,,
4576,11/05/22 10:30:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
4577,11/05/22 10:40:00,,,,,,1,1,,,,,,,,
4578,11/05/22 11:00:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
4579,11/05/22 11:10:00,,,,,,1,1,,,,,,,,
4580,11/05/22 11:30:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
4581,11/05/22 11:40:00,,,,,,1,1,,,,,,,,
4582,11/05/22 12:00:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
4583,11/05/22 12:10:00,,,,,,1,1,,,,,,,,
4584,11/05/22 12:30:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
4585,11/05/22 12:40:00,,,,,,1,1,,,,,,,,
4586,11/05/22 13:00:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
4587,11/05/22 13:10:00,,,,,,1,1,,,,,,,,
4588,11/05/22 13:30:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
4589,11/05/22 13:40:00,,,,,,1,1,,,,,,,,
4590,11/05/22 14:00:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
4591,11/05/22 14:10:00,,,,,,1,1,,,,,,,,
4592,11/05/22 14:30:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
4593,11/05/22 14:40:00,,,,,,1,1,,,,,,,,
4594,11/05/22 15:00:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
4595,11/05/22 15:10:00,,,,,,1,1,,,,,,,,
4596,11/05/22 15:30:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
4597,11/05/22 15:40:00,,,,,,1,1,,,,,,,,
4598,11/05/22 16:00:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
4599,11/05/22 16:10:00,,,,,,1,1,,,,,,,,
4600,11/05/22 16:30:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
4601,11/05/22 16:40:00,,,,,,1,1,,,,,,,,
4602,11/05/22 17:00:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
4603,11/05/22 17:10:00,,,,,,1,1,,,,,,,,
4604,11/05/22 17:30:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
4605,11/05/22 17:40:00,,,,,,1,1,,,,,,,,
4606,11/05/22 18:00:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
4607,11/05/22 18:10:00,,,,,,1,1,,,,,,,,
4608,11/05/22 18:30:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
4609,11/05/22 18:40:00,,,,,,1,1,,,,,,,,
4610,11/05/22 19:00:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
4611,11/05/22 19:10:00,,,,,,1,1,,,,,,,,
4612,11/05/22 19:30:00,2,1,1,1,1,,,1,1,1,1,2,1,,3
4613,11/05/22 19:40:00,,,,,,1,3,,,,,,,,
4614,11/05/22 20:00:00,6,2,2,4,1,,,2,3,3,1,6,3,,8
4615,11/05/22 20:10:00,,,,,,1,9,,,,,,,,
4616,11/05/22 20:30:00,12,11,4,9,2,,,8,9,8,3,12,7,,24
4617,11/05/22 20:40:00,,,,,,2,21,,,,,,,,
4618,11/05/22 21:00:00,14,11,7,13,4,,,9,9,11,6,13,12,,17
4619,11/05/22 21:10:00,,,,,,3,18,,,,,,,,
4620,11/05/22 21:30:00,13,12,8,16,6,,,12,11,13,6,13,12,,19
4621,11/05/22 21:40:00,,,,,,3,12,,,,,,,,
4622,11/05/22 22:00:00,21,16,11,19,6,,,17,16,18,7,17,16,,18
4623,11/05/22 22:10:00,,,,,,6,23,,,,,,,,
4624,11/05/22 22:30:00,29,18,11,23,9,,,19,18,23,9,23,17,,21
4625,11/05/22 22:40:00,,,,,,7,22,,,,,,,,
4626,11/05/22 23:00:00,21,14,11,21,8,,,17,16,21,7,18,16,,19
4627,11/05/22 23:10:00,,,,,,4,8,,,,,,,,
4628,11/05/22 23:30:00,12,9,7,16,6,,,13,11,17,6,9,11,,13
4629,11/05/22 23:40:00,,,,,,2,6,,,,,,,,
4630,11/06/22 00:00:00,7,6,4,11,4,,,7,6,11,3,8,8,,8
4631,11/06/22 00:10:00,,,,,,2,4,,,,,,,,
4632,11/06/22 00:30:00,3,2,2,4,1,,,3,3,4,2,4,4,,6
4633,11/06/22 00:40:00,,,,,,1,2,,,,,,,,
4634,11/06/22 01:00:00,1,1,1,2,1,,,1,1,2,1,1,2,,1
4635,11/06/22 01:10:00,,,,,,1,1,,,,,,,,
4636,11/06/22 01:30:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
4637,11/06/22 01:40:00,,,,,,1,1,,,,,,,,
4638,11/06/22 02:00:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
4639,11/06/22 02:10:00,,,,,,1,1,,,,,,,,
4640,11/06/22 02:30:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
4641,11/06/22 02:40:00,,,,,,1,1,,,,,,,,
4642,11/06/22 03:00:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
4643,11/06/22 03:10:00,,,,,,1,1,,,,,,,,
4644,11/06/22 03:30:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
4645,11/06/22 03:40:00,,,,,,1,1,,,,,,,,
4646,11/06/22 04:00:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
4647,11/06/22 04:10:00,,,,,,1,1,,,,,,,,
4648,11/06/22 04:30:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
4649,11/06/22 04:40:00,,,,,,1,1,,,,,,,,
4650,11/06/22 05:00:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
4651,11/06/22 05:10:00,,,,,,1,1,,,,,,,,
4652,11/06/22 05:30:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
4653,11/06/22 05:40:00,,,,,,1,1,,,,,,,,
4654,11/06/22 06:00:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
4655,11/06/22 06:10:00,,,,,,1,1,,,,,,,,
4656,11/06/22 06:30:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
4657,11/06/22 06:40:00,,,,,,1,1,,,,,,,,
4658,11/06/22 07:00:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
4659,11/06/22 07:10:00,,,,,,1,1,,,,,,,,
4660,11/06/22 07:30:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
4661,11/06/22 07:40:00,,,,,,1,1,,,,,,,,
4662,11/06/22 08:00:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
4663,11/06/22 08:10:00,,,,,,1,1,,,,,,,,
4664,11/06/22 08:30:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
4665,11/06/22 08:40:00,,,,,,1,1,,,,,,,,
4666,11/06/22 09:00:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
4667,11/06/22 09:10:00,,,,,,1,1,,,,,,,,
4668,11/06/22 09:30:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
4669,11/06/22 09:40:00,,,,,,1,1,,,,,,,,
4670,11/06/22 10:00:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
4671,11/06/22 10:10:00,,,,,,1,1,,,,,,,,
4672,11/06/22 10:30:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
4673,11/06/22 10:40:00,,,,,,1,1,,,,,,,,
4674,11/06/22 11:00:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
4675,11/06/22 11:10:00,,,,,,1,1,,,,,,,,
4676,11/06/22 11:30:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
4677,11/06/22 11:40:00,,,,,,1,1,,,,,,,,
4678,11/06/22 12:00:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
4679,11/06/22 12:10:00,,,,,,1,1,,,,,,,,
4680,11/06/22 12:30:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
4681,11/06/22 12:40:00,,,,,,1,1,,,,,,,,
4682,11/06/22 13:00:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
4683,11/06/22 13:10:00,,,,,,1,1,,,,,,,,
4684,11/06/22 13:30:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
4685,11/06/22 13:40:00,,,,,,1,1,,,,,,,,
4686,11/06/22 14:00:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
4687,11/06/22 14:10:00,,,,,,1,1,,,,,,,,
4688,11/06/22 14:30:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
4689,11/06/22 14:40:00,,,,,,1,1,,,,,,,,
4690,11/06/22 15:00:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
4691,11/06/22 15:10:00,,,,,,1,1,,,,,,,,
4692,11/06/22 15:30:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
4693,11/06/22 15:40:00,,,,,,1,1,,,,,,,,
4694,11/06/22 16:00:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
4695,11/06/22 16:10:00,,,,,,1,1,,,,,,,,
4696,11/06/22 16:30:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
4697,11/06/22 16:40:00,,,,,,1,1,,,,,,,,
4698,11/06/22 17:00:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
4699,11/06/22 17:10:00,,,,,,1,1,,,,,,,,
4700,11/06/22 17:30:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
4701,11/06/22 17:40:00,,,,,,1,1,,,,,,,,
4702,11/06/22 18:00:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
4703,11/06/22 18:10:00,,,,,,1,1,,,,,,,,
4704,11/06/22 18:30:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
4705,11/06/22 18:40:00,,,,,,1,1,,,,,,,,
4706,11/06/22 19:00:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
4707,11/06/22 19:10:00,,,,,,1,1,,,,,,,,
4708,11/06/22 19:30:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
4709,11/06/22 19:40:00,,,,,,1,1,,,,,,,,
4710,11/06/22 20:00:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
4711,11/06/22 20:10:00,,,,,,1,1,,,,,,,,
4712,11/06/22 20:30:00,2,1,1,1,1,,,1,1,1,1,2,1,,3
4713,11/06/22 20:40:00,,,,,,1,4,,,,,,,,
4714,11/06/22 21:00:00,6,2,2,4,1,,,3,2,3,1,6,3,,7
4715,11/06/22 21:10:00,,,,,,1,6,,,,,,,,
4716,11/06/22 21:30:00,6,3,3,6,1,,,4,3,4,2,6,6,,9
4717,11/06/22 21:40:00,,,,,,1,6,,,,,,,,
4718,11/06/22 22:00:00,6,4,4,7,1,,,4,4,4,2,6,7,,8
4719,11/06/22 22:10:00,,,,,,1,4,,,,,,,,
4720,11/06/22 22:30:00,6,3,1,6,1,,,4,3,3,2,6,4,,8
4721,11/06/22 22:40:00,,,,,,1,4,,,,,,,,
4722,11/06/22 23:00:00,4,2,2,4,2,,,3,3,3,2,4,3,,7
4723,11/06/22 23:10:00,,,,,,1,4,,,,,,,,
4724,11/06/22 23:30:00,2,2,1,4,1,,,2,2,2,1,2,2,,4
4725,11/06/22 23:40:00,,,,,,1,2,,,,,,,,
4726,11/07/22 00:00:00,2,1,1,2,1,,,1,1,1,1,2,1,,3
4727,11/07/22 00:10:00,,,,,,1,1,,,,,,,,
4728,11/07/22 00:30:00,1,1,1,1,1,,,1,1,1,1,1,1,,2
4729,11/07/22 00:40:00,,,,,,1,1,,,,,,,,
4730,11/07/22 01:00:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
4731,11/07/22 01:10:00,,,,,,1,1,,,,,,,,
4732,11/07/22 01:30:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
4733,11/07/22 01:40:00,,,,,,1,1,,,,,,,,
4734,11/07/22 02:00:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
4735,11/07/22 02:10:00,,,,,,1,1,,,,,,,,
4736,11/07/22 02:30:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
4737,11/07/22 02:40:00,,,,,,1,1,,,,,,,,
4738,11/07/22 03:00:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
4739,11/07/22 03:10:00,,,,,,1,1,,,,,,,,
4740,11/07/22 03:30:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
4741,11/07/22 03:40:00,,,,,,1,1,,,,,,,,
4742,11/07/22 04:00:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
4743,11/07/22 04:10:00,,,,,,1,1,,,,,,,,
4744,11/07/22 04:30:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
4745,11/07/22 04:40:00,,,,,,1,1,,,,,,,,
4746,11/07/22 05:00:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
