"","date","station","sensor","depth","wspeedavg"
"263","2023-05-11","TNHA","TNHA-BASE",1,0.708333333333333
"264","2023-05-12","TNHA","TNHA-BASE",1,0.208333333333333
"265","2023-05-13","TNHA","TNHA-BASE",1,1.60416666666667
"266","2023-05-14","TNHA","TNHA-BASE",1,1.14583333333333
"267","2023-05-15","TNHA","TNHA-BASE",1,1.04166666666667
"268","2023-05-16","TNHA","TNHA-BASE",1,0.625
"269","2023-05-17","TNHA","TNHA-BASE",1,1.20833333333333
"270","2023-05-18","TNHA","TNHA-BASE",1,0
"271","2023-05-19","TNHA","TNHA-BASE",1,0.3125
"272","2023-05-20","TNHA","TNHA-BASE",1,0.3125
"273","2023-05-21","TNHA","TNHA-BASE",1,0.125
"274","2023-05-22","TNHA","TNHA-BASE",1,0.229166666666667
"275","2023-05-23","TNHA","TNHA-BASE",1,0.0416666666666667
"276","2023-05-24","TNHA","TNHA-BASE",1,1.29166666666667
"277","2023-05-25","TNHA","TNHA-BASE",1,2.66666666666667
"278","2023-05-26","TNHA","TNHA-BASE",1,2.625
"279","2023-05-27","TNHA","TNHA-BASE",1,0.958333333333333
"280","2023-05-28","TNHA","TNHA-BASE",1,2.1875
"281","2023-05-29","TNHA","TNHA-BASE",1,0.104166666666667
"282","2023-05-30","TNHA","TNHA-BASE",1,0.104166666666667
"283","2023-05-31","TNHA","TNHA-BASE",1,0.0625
"284","2023-06-01","TNHA","TNHA-BASE",1,0.0416666666666667
"285","2023-06-02","TNHA","TNHA-BASE",1,1.45833333333333
"286","2023-06-03","TNHA","TNHA-BASE",1,1.39583333333333
"287","2023-06-04","TNHA","TNHA-BASE",1,0.4375
"288","2023-06-05","TNHA","TNHA-BASE",1,0.625
"289","2023-06-06","TNHA","TNHA-BASE",1,1.5625
"290","2023-06-07","TNHA","TNHA-BASE",1,2.35416666666667
"291","2023-06-08","TNHA","TNHA-BASE",1,1.83333333333333
"292","2023-06-09","TNHA","TNHA-BASE",1,1.8125
"293","2023-06-10","TNHA","TNHA-BASE",1,3.22916666666667
"294","2023-06-11","TNHA","TNHA-BASE",1,4.47916666666667
"295","2023-06-12","TNHA","TNHA-BASE",1,2.29166666666667
"296","2023-06-13","TNHA","TNHA-BASE",1,0.166666666666667
"297","2023-06-14","TNHA","TNHA-BASE",1,1.29166666666667
"298","2023-06-15","TNHA","TNHA-BASE",1,0.208333333333333
"299","2023-06-16","TNHA","TNHA-BASE",1,0.458333333333333
"300","2023-06-17","TNHA","TNHA-BASE",1,1.16666666666667
"301","2023-06-18","TNHA","TNHA-BASE",1,2.35416666666667
"302","2023-06-19","TNHA","TNHA-BASE",1,0.131578947368421
"303","2023-07-09","TNHA","TNHA-BASE",1,0
"304","2023-07-10","TNHA","TNHA-BASE",1,1.04166666666667
"305","2023-07-11","TNHA","TNHA-BASE",1,1.27083333333333
"306","2023-07-12","TNHA","TNHA-BASE",1,0
"307","2023-07-13","TNHA","TNHA-BASE",1,0.0208333333333333
"308","2023-07-14","TNHA","TNHA-BASE",1,1.41666666666667
"309","2023-07-15","TNHA","TNHA-BASE",1,1.5
"310","2022-06-17","TNHA","TNHA-SC",1,0.754642857142857
"311","2022-06-18","TNHA","TNHA-SC",1,1.25555555555556
"312","2022-06-19","TNHA","TNHA-SC",1,0.784722222222222
"313","2022-06-20","TNHA","TNHA-SC",1,0.309027777777778
"314","2022-06-21","TNHA","TNHA-SC",1,0.684722222222222
"315","2022-06-22","TNHA","TNHA-SC",1,0.356597222222223
"316","2022-06-23","TNHA","TNHA-SC",1,0.227083333333333
"317","2022-06-24","TNHA","TNHA-SC",1,0.155902777777778
"318","2022-06-25","TNHA","TNHA-SC",1,0.30625
"319","2022-06-26","TNHA","TNHA-SC",1,0.252083333333333
"320","2022-06-27","TNHA","TNHA-SC",1,0.353472222222222
"321","2022-06-28","TNHA","TNHA-SC",1,0.30625
"322","2022-06-29","TNHA","TNHA-SC",1,0.863541666666666
"323","2022-06-30","TNHA","TNHA-SC",1,0.748878923766816
"324","2022-07-01","TNHA","TNHA-SC",1,0.966666666666667
"325","2022-07-02","TNHA","TNHA-SC",1,1.45
"326","2022-07-03","TNHA","TNHA-SC",1,0.225
"327","2022-07-04","TNHA","TNHA-SC",1,0.83125
"328","2022-07-05","TNHA","TNHA-SC",1,0.625
"329","2022-07-06","TNHA","TNHA-SC",1,0.433333333333333
"330","2022-07-07","TNHA","TNHA-SC",1,0.625
"331","2022-07-08","TNHA","TNHA-SC",1,1.71666666666667
"332","2022-07-09","TNHA","TNHA-SC",1,0.704166666666667
"333","2022-07-10","TNHA","TNHA-SC",1,0.279166666666667
"334","2022-07-11","TNHA","TNHA-SC",1,2.80208333333333
"335","2022-07-12","TNHA","TNHA-SC",1,1.83541666666667
"336","2022-07-13","TNHA","TNHA-SC",1,1.71666666666667
"337","2022-07-14","TNHA","TNHA-SC",1,1.9375
"338","2022-07-15","TNHA","TNHA-SC",1,2.13125
"339","2022-07-16","TNHA","TNHA-SC",1,0.854166666666667
"340","2022-07-17","TNHA","TNHA-SC",1,0.75625
"341","2022-07-18","TNHA","TNHA-SC",1,1.52916666666667
"342","2022-07-19","TNHA","TNHA-SC",1,2.00416666666667
"343","2022-07-20","TNHA","TNHA-SC",1,0.797916666666667
"344","2022-07-21","TNHA","TNHA-SC",1,2.57083333333333
"345","2022-07-22","TNHA","TNHA-SC",1,3.36875
"346","2022-07-23","TNHA","TNHA-SC",1,3.3625
"347","2022-07-24","TNHA","TNHA-SC",1,1.25
"348","2022-07-25","TNHA","TNHA-SC",1,1.61666666666667
"349","2022-07-26","TNHA","TNHA-SC",1,4.34375
"350","2022-07-27","TNHA","TNHA-SC",1,2.87916666666667
"351","2022-07-28","TNHA","TNHA-SC",1,4.09375
"352","2022-07-29","TNHA","TNHA-SC",1,2.49166666666667
"353","2022-07-30","TNHA","TNHA-SC",1,0.647916666666667
"354","2022-07-31","TNHA","TNHA-SC",1,1.15208333333333
"355","2022-08-01","TNHA","TNHA-SC",1,1.85833333333333
