"","date","station","sensor","depth","wdiravg"
"208","2023-03-17","TNHA","TNHA-BASE",1,325
"209","2023-03-18","TNHA","TNHA-BASE",1,276.416666666667
"210","2023-03-19","TNHA","TNHA-BASE",1,228.708333333333
"211","2023-03-20","TNHA","TNHA-BASE",1,281.125
"212","2023-03-21","TNHA","TNHA-BASE",1,258.291666666667
"213","2023-03-22","TNHA","TNHA-BASE",1,252.083333333333
"214","2023-03-23","TNHA","TNHA-BASE",1,201.375
"215","2023-03-24","TNHA","TNHA-BASE",1,264.416666666667
"216","2023-03-25","TNHA","TNHA-BASE",1,297.166666666667
"217","2023-03-26","TNHA","TNHA-BASE",1,303.708333333333
"218","2023-03-27","TNHA","TNHA-BASE",1,290.75
"219","2023-03-28","TNHA","TNHA-BASE",1,202.166666666667
"220","2023-03-29","TNHA","TNHA-BASE",1,315.041666666667
"221","2023-03-30","TNHA","TNHA-BASE",1,222.75
"222","2023-03-31","TNHA","TNHA-BASE",1,174.083333333333
"223","2023-04-01","TNHA","TNHA-BASE",1,199.5
"224","2023-04-02","TNHA","TNHA-BASE",1,225.25
"225","2023-04-03","TNHA","TNHA-BASE",1,280.875
"226","2023-04-04","TNHA","TNHA-BASE",1,86.5833333333333
"227","2023-04-05","TNHA","TNHA-BASE",1,216.583333333333
"228","2023-04-06","TNHA","TNHA-BASE",1,335.75
"229","2023-04-07","TNHA","TNHA-BASE",1,253.541666666667
"230","2023-04-08","TNHA","TNHA-BASE",1,301.125
"231","2023-04-09","TNHA","TNHA-BASE",1,324.666666666667
"232","2023-04-10","TNHA","TNHA-BASE",1,129.75
"233","2023-04-11","TNHA","TNHA-BASE",1,234.5
"234","2023-04-12","TNHA","TNHA-BASE",1,294.583333333333
"235","2023-04-13","TNHA","TNHA-BASE",1,348
"236","2023-04-14","TNHA","TNHA-BASE",1,331.291666666667
"237","2023-04-15","TNHA","TNHA-BASE",1,330.958333333333
"238","2023-04-16","TNHA","TNHA-BASE",1,325.166666666667
"239","2023-04-17","TNHA","TNHA-BASE",1,280.083333333333
"240","2023-04-18","TNHA","TNHA-BASE",1,306.791666666667
"241","2023-04-19","TNHA","TNHA-BASE",1,303.333333333333
"242","2023-04-20","TNHA","TNHA-BASE",1,294.541666666667
"243","2023-04-21","TNHA","TNHA-BASE",1,173.125
"244","2023-04-22","TNHA","TNHA-BASE",1,53.7916666666667
"245","2023-04-23","TNHA","TNHA-BASE",1,237.5
"246","2023-04-24","TNHA","TNHA-BASE",1,180.958333333333
"247","2023-04-25","TNHA","TNHA-BASE",1,265.833333333333
"248","2023-04-26","TNHA","TNHA-BASE",1,306.666666666667
"249","2023-04-27","TNHA","TNHA-BASE",1,137.083333333333
"250","2023-04-28","TNHA","TNHA-BASE",1,189.833333333333
"251","2023-04-29","TNHA","TNHA-BASE",1,213.583333333333
"252","2023-04-30","TNHA","TNHA-BASE",1,216.583333333333
"253","2023-05-01","TNHA","TNHA-BASE",1,213.25
"254","2023-05-02","TNHA","TNHA-BASE",1,212.5
"255","2023-05-03","TNHA","TNHA-BASE",1,205.666666666667
"256","2023-05-04","TNHA","TNHA-BASE",1,125.875
"257","2023-05-05","TNHA","TNHA-BASE",1,294.208333333333
"258","2023-05-06","TNHA","TNHA-BASE",1,261.708333333333
"259","2023-05-07","TNHA","TNHA-BASE",1,262.625
"260","2023-05-08","TNHA","TNHA-BASE",1,242.583333333333
"261","2023-05-09","TNHA","TNHA-BASE",1,280
"262","2023-05-10","TNHA","TNHA-BASE",1,253.458333333333
"263","2023-05-11","TNHA","TNHA-BASE",1,208.416666666667
"264","2023-05-12","TNHA","TNHA-BASE",1,278.166666666667
"265","2023-05-13","TNHA","TNHA-BASE",1,267.541666666667
"266","2023-05-14","TNHA","TNHA-BASE",1,299.708333333333
"267","2023-05-15","TNHA","TNHA-BASE",1,298.375
"268","2023-05-16","TNHA","TNHA-BASE",1,258.083333333333
"269","2023-05-17","TNHA","TNHA-BASE",1,218.5
"270","2023-05-18","TNHA","TNHA-BASE",1,207
"271","2023-05-19","TNHA","TNHA-BASE",1,298.083333333333
"272","2023-05-20","TNHA","TNHA-BASE",1,275
"273","2023-05-21","TNHA","TNHA-BASE",1,282.791666666667
"274","2023-05-22","TNHA","TNHA-BASE",1,261.458333333333
"275","2023-05-23","TNHA","TNHA-BASE",1,268.125
"276","2023-05-24","TNHA","TNHA-BASE",1,235.208333333333
"277","2023-05-25","TNHA","TNHA-BASE",1,218.291666666667
"278","2023-05-26","TNHA","TNHA-BASE",1,180.75
"279","2023-05-27","TNHA","TNHA-BASE",1,53.875
"280","2023-05-28","TNHA","TNHA-BASE",1,200.291666666667
"281","2023-05-29","TNHA","TNHA-BASE",1,268.291666666667
"282","2023-05-30","TNHA","TNHA-BASE",1,206.75
"283","2023-05-31","TNHA","TNHA-BASE",1,255.916666666667
"284","2023-06-01","TNHA","TNHA-BASE",1,225.5
"285","2023-06-02","TNHA","TNHA-BASE",1,211.041666666667
"286","2023-06-03","TNHA","TNHA-BASE",1,237
"287","2023-06-04","TNHA","TNHA-BASE",1,237.666666666667
"288","2023-06-05","TNHA","TNHA-BASE",1,238.833333333333
"289","2023-06-06","TNHA","TNHA-BASE",1,188.708333333333
"290","2023-06-07","TNHA","TNHA-BASE",1,222.541666666667
"291","2023-06-08","TNHA","TNHA-BASE",1,174.541666666667
"292","2023-06-09","TNHA","TNHA-BASE",1,65.7916666666667
"293","2023-06-10","TNHA","TNHA-BASE",1,191.5
"294","2023-06-11","TNHA","TNHA-BASE",1,218.5
"295","2023-06-12","TNHA","TNHA-BASE",1,219.208333333333
"296","2023-06-13","TNHA","TNHA-BASE",1,128.875
"297","2023-06-14","TNHA","TNHA-BASE",1,270.958333333333
"298","2023-06-15","TNHA","TNHA-BASE",1,169.666666666667
"299","2023-06-16","TNHA","TNHA-BASE",1,244.916666666667
"300","2023-06-17","TNHA","TNHA-BASE",1,208.458333333333
"301","2023-06-18","TNHA","TNHA-BASE",1,226.416666666667
"302","2023-06-19","TNHA","TNHA-BASE",1,127.263157894737
"303","2023-07-09","TNHA","TNHA-BASE",1,278.285714285714
"304","2023-07-10","TNHA","TNHA-BASE",1,234.708333333333
"305","2023-07-11","TNHA","TNHA-BASE",1,219.583333333333
"306","2023-07-12","TNHA","TNHA-BASE",1,311.083333333333
"307","2023-07-13","TNHA","TNHA-BASE",1,298.083333333333
"308","2023-07-14","TNHA","TNHA-BASE",1,150.791666666667
"309","2023-07-15","TNHA","TNHA-BASE",1,4
"310","2022-06-17","SSMH","SSMH-BASE",1,138.003472222222
"311","2022-06-18","SSMH","SSMH-BASE",1,224.576388888889
"312","2022-06-19","SSMH","SSMH-BASE",1,251.145833333333
"313","2022-06-20","SSMH","SSMH-BASE",1,120.770833333333
"314","2022-06-21","SSMH","SSMH-BASE",1,197.555555555556
"315","2022-06-22","SSMH","SSMH-BASE",1,170.211805555555
"316","2022-06-23","SSMH","SSMH-BASE",1,184.975694444444
"317","2022-06-24","SSMH","SSMH-BASE",1,191.402777777778
"318","2022-06-25","SSMH","SSMH-BASE",1,183.253472222222
"319","2022-06-26","SSMH","SSMH-BASE",1,172.722222222222
"320","2022-06-27","SSMH","SSMH-BASE",1,162.979166666667
"321","2022-06-28","SSMH","SSMH-BASE",1,176.791666666667
"322","2022-06-29","SSMH","SSMH-BASE",1,181.631944444445
"323","2022-06-30","SSMH","SSMH-BASE",1,175.539473684211
"324","2022-07-01","SSMH","SSMH-BASE",1,88.2291666666667
"325","2022-07-02","SSMH","SSMH-BASE",1,212.875
"326","2022-07-03","SSMH","SSMH-BASE",1,269.666666666667
"327","2022-07-04","SSMH","SSMH-BASE",1,221.354166666667
"328","2022-07-05","SSMH","SSMH-BASE",1,102.979166666667
"329","2022-07-06","SSMH","SSMH-BASE",1,225.645833333333
"330","2022-07-07","SSMH","SSMH-BASE",1,237.5625
"331","2022-07-08","SSMH","SSMH-BASE",1,159.833333333333
"332","2022-07-09","SSMH","SSMH-BASE",1,271.5625
"333","2022-07-10","SSMH","SSMH-BASE",1,235.8125
"334","2022-07-11","SSMH","SSMH-BASE",1,173.416666666667
"335","2022-07-12","SSMH","SSMH-BASE",1,95.625
"336","2022-07-13","SSMH","SSMH-BASE",1,48.4583333333333
"337","2022-07-14","SSMH","SSMH-BASE",1,54.6666666666667
