time,Pm2.5,Pm10 0
2024-07-02T15:05:27.000Z,,
2024-07-02T15:17:06.000Z,,
2024-07-02T15:28:45.000Z,4,4
2024-07-02T15:40:24.000Z,,
2024-07-02T15:52:03.000Z,,
2024-07-02T16:03:42.000Z,,
2024-07-02T16:15:21.000Z,,
2024-07-02T16:27:00.000Z,5,6
2024-07-02T16:38:39.000Z,,
2024-07-02T16:50:18.000Z,,
2024-07-02T17:01:57.000Z,,
2024-07-02T17:13:36.000Z,,
2024-07-02T17:25:15.000Z,4,4
2024-07-02T17:36:54.000Z,,
2024-07-02T17:48:33.000Z,,
2024-07-02T18:00:12.000Z,,
2024-07-02T18:11:51.000Z,,
2024-07-02T18:23:30.000Z,,
2024-07-02T18:35:09.000Z,5,6
2024-07-02T18:46:48.000Z,,
2024-07-02T18:58:27.000Z,,
2024-07-02T19:10:06.000Z,,
2024-07-02T19:21:45.000Z,,
2024-07-02T19:33:24.000Z,4,4
2024-07-02T19:45:03.000Z,,
2024-07-02T19:56:42.000Z,,
2024-07-02T20:08:21.000Z,,
2024-07-02T20:20:00.000Z,,
2024-07-02T20:31:39.000Z,5,6
2024-07-02T20:43:18.000Z,,
2024-07-02T20:54:57.000Z,,
2024-07-02T21:06:36.000Z,,
2024-07-02T21:18:15.000Z,,
2024-07-02T21:29:54.000Z,4,4
2024-07-02T21:41:33.000Z,,
2024-07-02T21:53:12.000Z,,
2024-07-02T22:04:51.000Z,,
2024-07-02T22:16:30.000Z,,
2024-07-02T22:28:09.000Z,5,6
2024-07-02T22:39:48.000Z,,
2024-07-02T22:51:27.000Z,,
2024-07-02T23:03:06.000Z,,
2024-07-02T23:14:45.000Z,,
2024-07-02T23:26:24.000Z,,
2024-07-02T23:38:03.000Z,4,4
2024-07-02T23:49:42.000Z,,
2024-07-03T00:01:21.000Z,,
2024-07-03T00:13:00.000Z,,
2024-07-03T00:24:39.000Z,,
2024-07-03T00:36:18.000Z,4,5
2024-07-03T00:47:57.000Z,,
2024-07-03T00:59:36.000Z,,
2024-07-03T01:11:15.000Z,,
2024-07-03T01:22:54.000Z,,
2024-07-03T01:34:33.000Z,4,4
2024-07-03T01:46:12.000Z,,
2024-07-03T01:57:51.000Z,,
2024-07-03T02:09:30.000Z,,
2024-07-03T02:21:09.000Z,,
2024-07-03T02:32:48.000Z,6,7
2024-07-03T02:44:27.000Z,,
2024-07-03T02:56:06.000Z,,
2024-07-03T03:07:45.000Z,,
2024-07-03T03:19:24.000Z,,
2024-07-03T03:31:03.000Z,,
2024-07-03T03:42:42.000Z,4,4
2024-07-03T03:54:21.000Z,,
2024-07-03T04:06:00.000Z,,
2024-07-03T04:17:39.000Z,,
2024-07-03T04:29:18.000Z,,
2024-07-03T04:40:57.000Z,4,5
2024-07-03T04:52:36.000Z,,
2024-07-03T05:04:15.000Z,,
2024-07-03T05:15:54.000Z,,
2024-07-03T05:27:33.000Z,,
2024-07-03T05:39:12.000Z,4,4
2024-07-03T05:50:51.000Z,,
2024-07-03T06:02:30.000Z,,
2024-07-03T06:14:09.000Z,,
2024-07-03T06:25:48.000Z,,
2024-07-03T06:37:27.000Z,5,6
2024-07-03T06:49:06.000Z,,
2024-07-03T07:00:45.000Z,,
2024-07-03T07:12:24.000Z,,
